wl_ang,F13,F13+2.5*5F11,F13+5.0*5F11,F13+7.5*5F11,F13+10.0*5F11,F13+12.5*5F11,5F11
6554.69970703125,64276348.0,69315200.0,74354064.0,79392920.0,84431776.0,89470632.0,2539001.25
6557.3740234375,68847816.0,78077896.0,87307968.0,96538048.0,105768128.0,114998208.0,4217039.5
6559.10986328125,72353656.0,89635392.0,106917136.0,124198880.0,141480608.0,158762368.0,7441855.5
6560.2412109375,73926032.0,103832984.0,133739936.0,163646880.0,193553824.0,223460784.0,12501248.0
6560.98388671875,72374528.0,119274368.0,166174208.0,213074064.0,259973904.0,306873760.0,19321212.0
6561.47607421875,65580668.0,130533304.0,195485936.0,260438576.0,325391200.0,390343840.0,26600608.0
6561.80810546875,53222940.0,135229024.0,217235120.0,299241184.0,381247296.0,463253376.0,33562540.0
6562.0361328125,43752056.0,134566176.0,225380288.0,316194400.0,407008512.0,497822624.0,37853332.0
6562.1982421875,38723716.0,132484992.0,226246256.0,320007520.0,413768800.0,507530048.0,40395252.0
6562.31689453125,36023452.0,126578640.0,217133840.0,307689024.0,398244224.0,488799392.0,41383544.0
6562.40869140625,34520016.0,118997680.0,203475344.0,287952992.0,372430656.0,456908288.0,41628884.0
6562.482421875,33660032.0,115356608.0,197053184.0,278749760.0,360446336.0,442142944.0,41731628.0
6562.544921875,33159908.0,113988688.0,194817472.0,275646240.0,356475040.0,437303808.0,41774660.0
6562.60009765625,32896998.0,113850472.0,194803936.0,275757408.0,356710880.0,437664352.0,41634492.0
6562.650390625,32787140.0,113745152.0,194703168.0,275661216.0,356619200.0,437577248.0,41381872.0
6562.69775390625,32791614.0,113508344.0,194225072.0,274941792.0,355658528.0,436375264.0,41046316.0
6562.74365234375,32889378.0,113449848.0,194010320.0,274570784.0,355131264.0,435691712.0,40705408.0
6562.78759765625,33074272.0,113336464.0,193598656.0,273860864.0,354123040.0,434385216.0,40368552.0
6562.8310546875,33341988.0,113231392.0,193120784.0,273010176.0,352899584.0,432788992.0,40058972.0
6562.8740234375,33683684.0,113158384.0,192633088.0,272107808.0,351582496.0,431057216.0,39776412.0
6562.9169921875,34117460.0,113142480.0,192167504.0,271192544.0,350217568.0,429242592.0,39526668.0
6562.95947265625,34622460.0,113162288.0,191702112.0,270241920.0,348781760.0,427321600.0,39310320.0
6563.00244140625,35239640.0,113298048.0,191356448.0,269414848.0,347473280.0,425531680.0,39139788.0
